Title;Abstract;Relevance
te ara mua future streets: co-designing and seeing an active travel intervention to completion;;1
evaluating the impact of a walking program in a disadvantaged area: using the re-eaim framework by mixed methods (vol 17, 1, 2017);;1
evaluation of walk across texas! - a web-based community physical activity program;"Background In response to the chronic disease burden, web- and community-based programs have the potential to address targeted behaviors, such as physical activity (PA), using a novel approach with large audiences. The purpose of this study was to preliminarily evaluate an established team centered, web-based community PA program in Texas. Methods Walk Across Texas! (WAT!) is an eight-week community program delivered through a web-based platform to help people of various ages and abilities establish the habit of regular PA. Teams are challenged to walk a minimum of 832 miles. Changes in self-reported PA (miles/week; days/week) and leisure-time sitting (hours/day) were examined from 11,116 adult participants who participated in the program in 2016. Further analysis determined changes in physical activity (miles/week) between groups of pre-program assessment self-reported physical activity levels (0, 1-2, 3-4, or 5-7 days/week). Statistical analysis included paired-sample t-tests, repeated measures ANOVA and participant descriptors for PA change. Results Overall, mean changes in PA in all variables were statistically significant (p < .001), with the largest, clinically significant changes in submitted miles/week (mean increase of 4.89 +/- 20.92). Self-reported PA increased 0.63 +/- 2.89 days/week, while leisure-time sitting decreased less than 1 h per day (0.87 +/- 1.86 h/day). All sub-groups (inactive, low active, active, high active at pre-program assessment) increased in self-reported miles per week, on average. Both the inactive and low-active groups experienced a statistically significant increase in mileage from week 1 to week 8 (5.48 miles/week or 12,330 steps /week, and 3.91 miles/week or 8797 steps /week, respectively). Conclusions The results provide initial support for the effectiveness of WAT! to initially increase and maintain moderate levels of PA of participants over 8-weeks, even in inactive or low-active participants. Descriptor variables were unable to differentiate between those who increased PA and those who did not. However; the results provide a canvas for future research questions regarding PA enhancement within a team-centered, web-based approach.";1
comment on: burn calories, not fuel! the effects of bikeshare programs on obesity rates;;1
developing sustainable walking interventions: integrating behavioural, ecological and systems science to promote population health;The purpose of this chapter is to review how well walking interventions have increased and sustained walking, and to provide suggestions for improving future walking interventions. A scoping review was conducted of walking interventions for adults that emphasised walking as a primary intervention strategy and/or included a walking outcome measure. Interventions conducted at the individual, community, and policy levels between 1990 and 2015 were included, with greater emphasis on recent interventions. Walking tends to increase early in interventions and then gradually declines. Results suggest that increased walking, and environmental-change activities to support walking are more likely to be sustained when they are immediately followed by greater economic benefits/time-savings, social approval, and/or physical/emotional well-being. Adaptive interventions that adjust intervention procedures to match dynamically changing environmental circumstances also hold promise for sustaining increased walking. Interventions that incorporate automated technology, durable built environment changes, and civic engagement, may increase cost-efficiency. Variations in outcome measures, study duration, seasons, participant characteristics, and possible measurement reactivity preclude causal inferences about the differential effectiveness of specific intervention procedures for increasing and sustaining walking. This review synthesises the effects of diverse walking interventions on increasing and sustaining walking over a 25-year period. Suggestions are provided to guide future development of more effective, sustainable walking interventions at the population level.;1
the performance of walking interventions by older adults' perception of walkability and fall-related risk factors: the results of the easy-step-to health randomized controlled trial;;1
effectiveness of changes in street layout and design for reducing barriers to walking;This study analyzed the effectiveness of two types of interventions to reduce built environment barriers to walking: changing the layout of the local street network (by increasing the density and connectivity of the links available to pedestrians) and redesigning a busy road (by adding crossing facilities, reducing the speed limit, or reallocating road space to pedestrians). The analysis focused on a residential neighborhood in London that was being extensively redeveloped. Anticipated effects of the interventions are assessed in regard to distance, delay, risk, and environmental quality of walking trips from residences to public transport nodes. The study also addressed methodological issues by modeling the off-street space available to pedestrians and considering alternative hypotheses for pedestrian route choice. Results show that, in this neighborhood, changes to the street layout always reduced delay and improved the pedestrian environment, although the changes might have increased trip distances and collision risk. Adding crossing facilities reduced risk but did not decrease delay, while reducing the number of vehicle lanes reduced distance and delay but might increase risk. All types of intervention improved the pedestrian environment, even in the cases of routes chosen to minimize delay or exposure to traffic.;1
not just another walking program - everyday activity supports you (easy) model - process evaluation;;1
implementation and evaluation of an incentivized internet-mediated walking program for obese adults;In response to rising health care costs associated with obesity rates, some health care insurers are adopting incentivized technology-enhanced wellness programs. The purpose of this study is to evaluate the large-scale implementation of an incentivized Internet-mediated walking program for obese adults and to examine program acceptance, adherence, and impact. A mixed-methods evaluation was conducted to investigate program implementation, acceptance, and adherence rates, and physical activity rates among program participants. Program implementation was shaped by national and state policies, data security concerns, and challenges related to incentivizing participation. Among 15,397 eligible individuals, 6,548 (43 %) elected to participate in the walking program, achieving an average of 6,523 steps/day (SD 2,610 steps). Participants who uploaded step counts for 75 % of days for a full year (n=2,885) achieved an average of 7,500 steps (SD 3,093). Acceptance and participation rates in this incentivized Internet-mediated walking program suggest that such interventions hold promise for engaging obese adults in physical activity.;1
community walking program promotes physical activity in adults and youth for 10 years;;1
physically separated bikeways: a game changer for bicycle mode split?;Many who do not already use bicycles to get around cite safety concerns as their primary reason for not doing so. Could physically separated bikeways be the answer to increasing modal share?;1
economic evaluation of the direct healthcare cost savings resulting from the use of walking interventions to prevent coronary heart disease in australia;Coronary heart disease (CHD) is the leading cause of death in Australia. Direct healthcare costs of CHD exceed those of any other disease. The purpose of this study was to evaluate the direct healthcare cost savings resulting from walking interventions to prevent CHD in Australia. A meta-analysis was performed to quantify the efficacy of walking interventions in preventing CHD. The etiologic fraction and other mathematical models were applied to quantify the cost savings resulting from walking interventions to prevent CHD. The net direct healthcare cost savings in CHD prevention resulting from 30 min of normal walking a day for 5-7 days a week by the sufficient walking population were estimated at AU$126.73 million in 2004. The cost savings could increase to $419.90 million if all the inactive adult Australians engaged in 1 h of normal walking a day for 5-7 days a week. Given its low injury risk and high adherence, walking should be advocated as a key population-based primary intervention strategy for CHD prevention and healthcare cost reduction.;1
determining the impact of walk kansas: applying a team-building approach to community physical activity promotion;Background Research and practice partnerships have the potential to enhance the translation of research findings into practice. Purpose This paper describes such a partnership in the development of Walk Kansas (WK) and highlights individual and organizational level outcomes. Method Phase 1 examined: (a) the reach of WK, (b) physical activity changes, and (c) maintenance of physical activity changes 6 months after the program was completed. Phase 2 explored WK adoption and sustainability over 5 years. Results WK attracted a large number of participants who were more likely to be female, more active, and older than the adult population within the counties where they resided. Inactive or insufficiently active participants at baseline experienced significant increases in both moderate (p < 0.001) and vigorous (p < 0.001) physical activity. A random selection of participants who were assessed 6 months post-program did not demonstrate a significant decrease in moderate or vigorous activity between program completion and 6-month follow-up. The number of counties adopting the program increased across years, peaking at 97 in 2006 and demonstrated the sustainability of the WK over 5 years. Conclusions WK is effective, has a broad reach, and enables participants to maintain increased activity. It also shows promise for broad adoption and sustainability.;1
pedometer walking program to increase physical activity and improve cardiometabloic health at work;;1
evaluation and optimization of walkability of children's school travel road for accessibility and safety improvement;(1) Background: In the context of a children friendly city, accessibility and safety are the basic needs of children's pedestrian school travel. This study proposes a comprehensive evaluation method of pedestrian accessibility and safety for children's school travel. (2) Methods: Firstly, the school travel network was constructed by simulating the path of children walking to school. Secondly, from the meso and micro dimensions, the impact factors of pedestrian accessibility and safety were combed out, and an evaluation index system was constructed. Finally, pedestrian accessibility and safety were evaluated based on the Space Syntax analysis and ArcGIS spatial analysis, and the results were superimposed and spatially differentiated. The new evaluation method was tested in the Jintang Road area in Hedong District, Tianjin, China. (3) Results: The pedestrian accessibility and safety of children's school travel road in the study area needed to be improved. It was found that the main impact factors were the effective walking width, the spatial connectivity, the visual integration, the obstruction of pedestrian safety, the completeness of crossing facilities and the influence of traffic flow and put forward optimization strategies. After optimized simulation verification, the overall improvement was achieved. (4) Conclusion: The evaluation method is helpful to calculate the pedestrian accessibility and safety of children's school travel, and help decision makers determine the design and management strategies of child-friendly streets.;1
impacts of small changes in thoroughfare connectivity on the potential for student walking;Distance between a student residence and their school is as a major barrier for active commuting while trends in school siting and residential development have increased this distance. This study conducted a cost-benefit analysis of increased thoroughfare connectivity around schools in a representative US school system. A novel metric for organizations to rank schools by their walkability is introduced, and then network optimization techniques located the new thoroughfare connections that maximized student walking and minimized the length of the new connection. The increased time of physical activity from student walking and the cost savings from busing fewer students were compared to the financial construction costs of the new thoroughfares. Results from this case study show that recent development trends are antithetical to student active commuting, that short and inexpensive new thoroughfares can increase the number of student walkers and their physical activity and reduce busing costs, traffic, accidents, and pollution. This work calls for a collaboration between planners, school officials, and developers to design neighborhoods around schools that improve the health of the community and its children. (C) 2021 American Society of Civil Engineers.;1
empirical evidence on the impacts of bikesharing: a literature review;In recent years, bikesharing has become one of the most popular policies promoting cycling across the world. As the number of bikesharing systems (BSS) continues to rise, it is increasingly important to quantify their expected benefits. This paper synthetises the available evidence on the current impacts of implementing a BSS, with a special focus on the induced modal shift dynamics and impacts in car reduction, indicating how increasing the attractiveness of BSS to car users could improve its benefits. Several benefits have been associated to bikesharing, but they are not equally distributed and are dependent on several nuances, particularly on modal shifts. Among the biggest contributions are the increases in physical activity (PA) levels (triggering health gains) as well as travel time savings to the BSS users. Bikesharing is mostly replacing sustainable modes of transport, with modest car replacing rates. However, bikesharing can also indirectly decrease car travel by fostering synergies with Public Transport (by expanding catchment areas, reducing overcrowding and overall travel times) and by promoting cycling use through increasing the number and diversity of cyclists. Furthermore, different types of modal shift lead to different benefits. Reductions in car travel induce decreases in greenhouse gases (GHG) and other air pollutants, increases in PA, time savings as well as congestion reductions. Conversely, new trips generated by BSS also lead to increases in PA, while modal shift from walking to BSS has been associated with travel time savings. Shifting PT users to BSS can also reduce overcrowding in saturated PT networks. The most social disadvantaged groups were found to be systematically under-represented among BSS users, yet equity measures combined with awareness-raising campaigns could increase usage rates. Exploring potential advantages of BSS against car use and increasing its car replacing rates, coupled with better impact assessments, should constitute research priorities.;1
changes in delay discounting rate following the walkit arizona intervention;;1
impact of land use on bicycle usage: a big data-based spatial approach to inform transport planning;Bicycling is an alternative of urban transport mode, which is significantly influenced by land use. This paper makes an effort to quantify the magnitude and direction of the impact. We first develop a theoretical framework to establish links between land use and bicycle usage. Then, trip data is crawled from Mobike, one of the largest newly emerging, free-floating bike sharing operators in Shenzhen (China), for a total of more than 7.8 million records over 191 consecutive days. And bicycling frequency, travel duration, and riding distance are obtained to be proxies of bicycle usage. Land-use characteristics regarding bicycling are comprehensively indicated by a set of standardized variables including three dimensions, land-use type, land-use mix, land-use connections, and 12 concrete indices. Panel spatial model is applied to quantify the associations at the district level with socioeconomics controlled. Results show that the percentage of green land has a remarkable impact on bicycle usage outcomes and land-use mix is positively associated with bicycling frequency. Density of intersections contributes to longer trip duration. Bicycle lane is a positive facilitator on workdays, while the number of stations is positively related to bicycle usage, especially frequency and distance. These findings provide insight into land use-transport interaction and could be of value to policymakers, planers and practitioners for transport planning while incorporating bicycling-friendly principles.;1
infographic:the effects of residential relocation on walking, physical activity and travel behaviour;;1
moving to an active lifestyle? a systematic review of the effects of residential relocation on walking, physical activity, and travel behaviour;;1
if we build it, will they come? environmental approaches to bicycle promotion;;1
study on fiscal measures to promote healthy development of shared bicycle;In recent years, shared bicycle has developed rapidly, and has spread all over the cities in China, especially in the first-tier cities. The support and encouragement policies of the governments at all levels to shared bicycle industry are also increasing, and the shared bicycle market continues to grow at a high speed. However, as more and more enterprises seize the market of shared bicycle, there are many problems in shared bicycle market. Shared bicycle effectively saves resources and improves urban traffic congestion. We should encourage it to develop healthfully. This paper mainly studies how to take financial measures to promote the healthy development of shared bicycle.;1
the impact of a public bicycle-sharing system on urban public transport networks;As a healthy and environment-friendly trip mode, public bicycle-sharing systems, which have so far been built in hundreds of cities around the world, have been developing rapidly recently. The public bicycle-sharing systems, which are usually spatially embedded where original urban bus transport networks are located, comprise the new urban public transport system together with the bus transport networks. Therefore, studying the impact of the public bicycle-sharing systems on the original urban public transport networks is an important research subject. In this study, using the real spatial location data of the public bicycle-sharing systems of Hangzhou and Ningbo in China, we propose a multi-layer coupling spatial network model that considers the geographical information on bus stations, bus routes, and public bicycle stations by studying the urban public transport networks. The spatial network model consists of bus subnets, short-distance bicycle subnets, and short-distance walk subnets which are interdependent rather than independent. We apply the model to study the influence of bicycling between the short-distance bicycle station pairs (SDB) and walking between the short-distance bus station pairs (SDW) on the performance of the urban public transport networks. Results show that SDB and SDW can significantly reduce the average transfer times, the average path length of passengers' trips and the Gini coefficient of an urban public transport network. Therefore, the public bicycle-sharing systems can decrease the average trip time of passengers and increase the efficiency of an urban public transport network, as well as effectively improve the uneven level of traffic flow spatial distribution of an urban public transport network and will be helpful to smoothening the traffic flow and alleviating traffic congestion.;1
the transition to bicycle mobility: energetic impacts analysis - the case of sao paulo;A great number of cities have been investing in cycling infrastructure, expecting reduction in air pollution, traffic jams and increased life quality indicators. However, the reduction of fuel and thus primary energy consumption is a positive externality rarely taken into account. The present article aims to analyse the energetic benefits due to the construction of urban cycling infrastructure in Sao Paulo, Brazil's major city, as it increases the use of bycicles as a mobility alternative to private cars and buses. Assuming a scenario of occupation rate of the total cycling infrastructure expected until the end of 2016, and adopting local data regarding the average distance travelled by bicycle, it is possible to infer the amount of fuel avoided. In conclusion, there is a significant potential for primary energy conservation, although the amount of investments is still insufficient in comparison to other cities in the world and International Agencies recommendations.;1
associations between physical activity motivations and physical activity in middle to older aged women after a 12-week walking intervention;;1
can a pedometer-based walking program lower health care costs among adults with type 2 diabetes?;;1
mind the gap assessing the impacts of bicycle accessibility and mobility on mode share in washington, d.c;The District of Columbia is enjoying rapid growth in cycling, evident through trends in census mode share data and in the presence of more cyclists out on the street. The District Department of Transportation (DOT) has spent significant resources in the past two decades to improve active transportation planning, outreach, and infrastructure delivery. These efforts have led to the District's recognition as a cycling-friendly city. Now the District DOT is taking stock of what has been done to improve cycling thus far and to determine what to do next. The District DOT is starting to ask what is driving the growth in the cycling mode share. How can the District understand, nurture, and expand on that growth in the cycling mode share? This study explored underlying relationships in which the District's cycling mode share was present. The analysis dug deeply by doing (a) a statistical analysis to identify key factors that influenced cycling and (b) a spatial analysis that defined trends in accessibility to cycling facilities and the mobility of the cycling network. Findings from this research will help inform District DOT planners on what policy, operational, outreach, and capital investment levers to consider as they continue to promote cycling in the District going forward.;1
can creating walkable neighbourhoods have adverse effects?;;1
demand response to improved walking infrastructure: a study into the economics of walking and health behaviour change;Walking is the most common form of moderate-intensity physical activity among adults, is widely accessible and especially appealing to obese people. Most often policy makers are interested in valuing the effect on walking of changes in some characteristics of a neighbourhood, the demand response for walking, of infrastructure changes. A positive demand response to improvements in the walking environment could help meet the public health target of 150 min of at least moderate-intensity physical activity per week. We model walking in an individual's local neighbourhood as a 'weak complement' to the characteristics of the neighbourhood itself. Walking is affected by neighbourhood characteristics, substitutes, and individual's characteristics, including their opportunity cost of time. Using compensating variation, we assess the economic benefits of walking and how walking behaviour is affected by improvements to the neighbourhood. Using a sample of 1209 respondents surveyed over a 12 month period (Feb 2010-Jan 2011) in East Belfast, United Kingdom, we find that a policy that increased walkability and people's perception of access to.shops and facilities would lead to an increase in walking of about 36 min/person/week, valued at 13.65 pound/person/week. When focussing on inactive residents, a policy that improved the walkability of the area would lead to guidelines for physical activity being reached by only 12.8% of the population who are currently inactive. Additional interventions would therefore be needed to encourage inactive residents to achieve the recommended levels of physical activity, as it appears that interventions that improve the walkability of an area are particularly effective in increasing walking among already active citizens, and, among the inactive ones, the best response is found among healthier, younger and wealthier citizens. (c) 2015 Elsevier Ltd. All rights reserved.;1
get wheelin' in westlawn: mounting a bicycling program in a low-income minority urban community;Located in Milwaukee, Wisconsin, USA, the Westlawn neighborhood is home to the State of Wisconsin's largest public housing development. Westlawn is a low-income, African-American urban community that suffers from a wide range of health and environmental disparities. A community-based participatory action (CBPA) team was formed to address environmental health issues in Westlawn, and found asthma rates there are among the highest in the State. Decreasing air pollution, and corresponding asthma triggers, became a priority for the community. The CBPA team developed a bicycling program to reduce trips made by car and improve air quality in the Westlawn neighborhood. Input from focus group meetings shaped the development, implementation and expansion of the bicycling program. While the program was originally conceived to address environmental health issues, it provided key findings about how to encourage bicycling in low-income minority urban communities.;1
commentary: can we increase bicycle use rates in the united states safely?;;1
integrated strategies to accelerate the adoption of cycling for transportation;This study synthesizes academic social psychological behaviour change literature with reports on the practical, community-based application of cycling programs. We identify the combination of psychological tools demonstrated to lead to changes in behaviour in the target population. We compare these tools with reports demonstrating evidence for success from monitored programs to encourage cycling adoption. Based on the alignment between these two literatures, we developed an adaptable, evidenced-based strategy for program developers to most effectively accelerate the adoption of cycling for transportation in areas where physical barriers are few. A brief case study affirms the effectiveness of this approach. (C) 2017 The Author(s). Published by Elsevier Ltd.;1
implementing healthy planning and active living initiatives: a virtuous cycle;"Factors including internal local government functioning, collaboration and the use of co-benefits have been noted to assist in the uptake of healthy planning policies and projects by local governments. However, less commonly noted is a possible reverse relationship: that implementation of healthy planning projects can contribute positively to organisational functioning and collaboration, and can result in a range of co-benefits that then can be used to support projects. Such a concept is explored in this paper, with a focus at the local government level in Australia. Findings from surveys with local government practitioners and in-depth interviews with healthy planning and community health advocates are presented. The findings indicate four key areas through which the implementation of healthy planning policies and projects and active living initiatives demonstrates a 'virtuous cycle'. These areas include (1) project 'wind-up', or circumstances in which implementation and/or health outcomes exceed initial expectations; (2) improved partnerships that can create opportunities for future initiatives; (3) improved internal organisational functioning; and (4) greater project sustainability. The paper concludes by exploring some possible repercussions of these emerging findings, which indicate that beneficial settings to healthy planning considerations can be a result of as well as a contributor to healthy planning and active living initiative implementation. In turn, this presents another potential co-benefit of project uptake and implementation to those commonly identified.";1
a systematic review of the impact of bicycle helmet legislation on cycling exposure;;1
bicycle superhighway: an environmentally sustainable policy for urban transport;Bicycle is a sustainable low-carbon transport mode. However, insufficient or unplanned infrastructure leads to decrease in the share of bicycle in many cities of developing nations. In order to increase the bicycle share and to provide safer, faster and more direct routes, a bicycle superhighway is proposed for urban areas. This study identifies the potential of increase in the bicycle share. For maximum utilization of the new infrastructure, an algorithm is presented to identify the optimum number and locations of the connectors between proposed new infrastructure and existing network. Household income levels are incorporated into the decision making process of individual travellers for a better understanding of the modal shift. A real-world case study of Patna, India is chosen to show the application of the proposed superhighway. It is shown that for Patna, the bicycle share can escalate as high as 48% up from 32% by providing this kind of infrastructure. However, together with bicycles, allowing motorbikes on the superhighway limits the bicycle share to 44%. The increase in bicycle share is mainly a result of people switching from motorbike, public transport and walk to the bicycle. Further, to evaluate the benefits of the bicycle superhighway, this study first extends an emission modelling tool to estimate the time-dependent, vehicle-specific emissions under mixed traffic conditions. Allowing only bicyclists on the superhighway improves congested urban areas, reduces emissions, and increases accessibility. However, allowing motorbikes on the superhighway increases emissions significantly in the central part of the urban area and reduces accessibilities by bicycle mode to education facilities which are undesirable. This study elicits that a physically segregated high-quality bicycle superhighway will not only attract current non-cyclist travellers and increase the share of the bicycle mode, but will also reduce negative transport externalities significantly.;1
a community-based walking program in auburn, washington;;1
assessment of female participation in an employee 20-week walking incentive program at marshfield clinic, a large multispecialty group practice;Objective: We evaluated the short-term effect of a worksite-based walking incentive program to promote physical activity and well-being in employees of a private healthcare clinic. Design: A prospective, observational follow-up study. Setting: The study was conducted at Marshfield Clinic, a large private multispecialty group practice healthcare institution in Marshfield, Wisconsin, USA. Patients: Subjects for this study were Marshfield Clinic physicians and staff. Methods: From March 31, 2005 to August 20, 2005, physical activity level, body mass index (BMI) and other well-being characteristics were observed pre-and post-program among 191 female participants from the Marshfield Clinic. A brief Web site-accessible, self-reported survey assessed the effectiveness of the exercise program. Results: Our data show a statistically significant (p <0.0001) increase in participants' physical activity level, while a significant (p = 0.021) decrease in mean BMI was observed. However, there was no evidence of our incentive program reducing participants' blood pressure. Conclusion: Preliminary findings of our study suggest that the goal of worksite programs designed to support employees in their efforts to improve or maintain their level of wellness is potentially achievable. Continuing research is needed to further assess whether persistent health benefits can be induced by worksite wellness programs.;1
the broader impact of walking to school among adolescents: seven day accelerometry based study;;1
the impact of walking to school on overall physical activity and metabolic health;;1
transportation, air pollution and physical activities (tapas): a comprehensive research programme on active travel;;1
cycle-network expansion plan in oslo: modeling cost-effectiveness analysis and health equity impact;Physical inactivity is the leading cause of non-communicable diseases, and further research on the cost-effectiveness of interventions that target inactivity is warranted. Socioeconomic status is vital in this process. We aim to evaluate the cost-effectiveness of a cycle-network expansion plan in Oslo compared to the status quo by income quintiles. We applied a Markov model using a public payer perspective. Health outcomes were measured by quality-adjusted life years (QALYs) gained from the prevention of coronary heart disease, stroke, type 2 diabetes, and cancer. We measured equity impact by the concentration index and social welfare using the achievement index. We conducted sensitivity analyses. The intervention was generally more costly and more effective than the status quo. Incremental cost per QALY falls with income quintile, ranging from $10,098 in the richest quintile to $23,053 per QALY gained in the poorest quintile. The base-case intervention increased health inequality. However, a scenario targeting low-income quintiles reduced inequality and increased social welfare. In conclusion, the cycle-network expansion is likely to be cost-effective, but with equity concerns. If decision makers care about health inequalities, the disadvantaged groups could be targeted to produce more equitable and socially desirable outcomes instead of a uniform intervention across income quintiles.;1
health, environmental and travel cost impacts of urban cycling in dublin, ireland;Cycling as a mode of transport avoids the negative external costs of driving such as air pollution, carbon dioxide emissions and noise and can also reduce the public health costs associated with physical inactivity. However, increased cycling may also have disadvantages such as increased exposure to air pollution and risk of traffic collisions. A number of studies have developed methods to quantify these health and environmental impacts and have shown that the overall impact of increased cycling is positive. However, while minimising travel costs is traditionally the main objective of transport planners, these studies have not included travel cost impacts in their analyses. In this study, the impacts of a modal shift towards cycling are quantified, taking into account health, environmental and travel cost impacts. It was found that the health and environmental impacts of increased cycling in Dublin, Ireland, would be strongly positive, mainly due to the health benefits of physical activity. When travel costs are also included in the analysis, the central estimate of net impact remains positive but the uncertainty increases considerably. This underscores the importance of the transport and health sectors working together to maximise the social welfare resulting from transport projects.;1
cycling and walking to work in new zealand, 1991-2006: regional and individual differences, and pointers to effective interventions;Background: Active commuting increases levels of physical activity and is more likely to be adopted and sustained than exercise programmes. Despite the potential health, environmental, social and economic benefits, cycling and walking are increasingly marginal modes of transport in many countries. This paper investigated regional and individual differences in cycling and walking to work in New Zealand over the 15-year period (1991-2006). Methods: New Zealand Census data ( collected every five years) were accessed to analyse self-reported information on the main means of travel to work from individuals aged 15 years and over who are usually resident and employed in New Zealand. This analysis investigated differences in patterns of active commuting to work stratified by region, age, gender and personal income. Results: In 2006, over four-fifths of New Zealanders used a private vehicle, one in fourteen walked and one in forty cycled to work. Increased car use from 1991 to 2006 occurred at the expense of active means of travel as trends in public transport use remained unchanged during that period. Of the 16 regions defined at meshblock and area unit level, Auckland had the lowest prevalence of cycling and walking. In contrast to other regions, walking to work increased in Wellington and Nelson, two regions which have made substantial investments in local infrastructure to promote active transport. Nationally, cycling prevalence declined with age whereas a U-shaped trend was observed for walking. The numbers of younger people cycling to work and older people walking to work declined substantially from 1991 to 2006. Higher proportions of men compared with women cycled to work. The opposite was true for walking with an increasing trend observed in women aged under 30 years. Walking to work was less prevalent among people with higher income. Conclusion: We observed a steady decline in cycling and walking to work from 1991 to 2006, with two regional exceptions. This together with the important differences in travel patterns by age, gender and personal income highlights opportunities to target and modify transport policies in order to promote active commuting.;1
al colegio en bici bike-to-school program in bogota, colombia;Bike-to-school programs are aimed at improving the daily travel experience and safety for young commuters and constitute an opportunity for behavioral shifts toward sustainable mobility. However, only a few cases of bike-to-school programs have been documented. The lack of information is especially critical in rapidly growing cities of the global south. This study documented a promising bike-to-school program called Al Colegio en Bici, implemented in Bogota, Colombia. The program began in 2013, after a year of planning, and has provided improved access to public schools to low-income populations and gives children the opportunity to travel safely while using a sustainable mode of transport. More important, Al Colegio en Bid is expected to influence travel behavior in young generations and thus may positively affect health and reduce harmful emissions in the long run. The program and its implementation are described, and this account is expected to help other cities that are considering such programs as part of their plans for sustainable mobility and access to education.;1
assessment of cycling infrastructure within the urban transport network of the city of osijek;Planning documents of the European Union set the strategic objectives for the development of green mobility in urban areas, which is not only justified for environmental, health and transport issues, but it has its direct and significant positive economic effects on both users and society as a whole. Lowland topography of the city of Osijek, as well as the tradition of cycling in the area, favors a growing proportion of cyclists in urban mobility, but to continue the positive trend it is necessary to provide infrastructure that will respond to the growing traffic demand. This paper describes the methodology and presents the results of the existing cycling infrastructure of Osijek. Results of the analysis and assessment of the situation made by the experts were compared with the results of a survey conducted among users of cycling infrastructure. The final assessment of all sections and network segments according to predefined criteria clearly indicate the need to improve the quality and efficiency of existing networks, as well as the need to create clear priorities in construction and management of the cycling transport infrastructure network.;1
does a cycling program combined with education and followed by coaching promote physical activity in subacute stroke patients? a randomized controlled trial;"Background: To investigate the effects of a three month active cycling program followed by coaching on physical activity in subacute stroke patients. Methods: Patients (n = 59; mean age =65.4 +/- 10.3) aged <= 80 years with first stroke and able to cycle at 50 revolutions/minute enrolled 3-10 weeks post stroke. Patients were randomly allocated to three month active cycling group (n = 33) or to a control group (n = 26), 3 x 30 minutes training/week. Afterwards, the active cycling group was randomized into a coaching (n = 15) versus non-coaching group (n = 16) for nine months. Physical activity was measured by objective and self-reported measures, which were taken before/after the active cycling program and during six and 12 months, except the Baecke-questionnaire, which was used at baseline and 12 months. Results: A significant difference was found in Baecke/sport (95% confidence interval: 0.06, 2.24; p = 0.039) between the active cycling group and the control group, in patients with severe motor function deficits at baseline. Patients in the control group performed significant less sports at 12 months (mean Baecke/sport(baseline) =3.07 +/- 1.21, mean Baecke/sport(12months) = 1.43 +/- 0.98; p = 0.01). Furthermore, all groups showed significant changes over time in all measures at three months (except: Physical Activity Scale for Individuals with Physical Disabilities, diary/Mets*minutes-moderate) and 12 month and additionally in a subgroup with severe motor function deficits (except diary Mets*minutes-sedentary). Conclusion: When active cycling combined with education is used in subacute patients with severe motor function deficits, more sport participation might be observed after one year. No other significant group differences were found over time. In all groups, however, patients showed significant improvement over time in physical activity measures. Future work is needed to explore the most effective coaching approach after an aerobic training program.";1
the development, characteristics and impact of bike-sharing systems: a literature review;"Bicycle sharing systems (BSSs) have attracted worldwide attention as representatives of the new, green public transportation systems, and many types of research have examined the topic. However, the research so far is relatively scattered, because BSS has undergone several technical upgrades and expansions, and the content of some articles may no longer apply to today's society. Therefore, it is necessary to review and summarise the research on BSSs so far. This article aims to collect and summarise the development, characteristics, and impact of BSSs through an extensive review of relevant literature. The article collects and analyses existing academic literature, online materials, and official reports. It is found that BSSs attract people with the same characteristics, and Western and Eastern users have different characteristics; some common factors promote people's use of BSSs in different regions. The government or enterprises introduce BSSs for different purposes: for reducing congestion or for reducing greenhouse gas emissions. Most of the impacts caused by BSSs are positive, but some impacts, such as model substitution and environmental benefits, do not seem to achieve the expected goals. Through a literature review, this article provides references for people who are interested in conducting further research in this area in the future.";1
covid-19's impact on older adults' cycling behaviors in a small, auto-centric urban area.;Research has shown an increase in cycling during COVID-19. This study builds on previous work by exploring COVID's impact on older cyclists (65+) residing in a small, auto-centric urban area. A survey (n = 198) demonstrated that, on average, cycling frequency decreased and average distance/trip increased. This suggests a less pronounced impact among older adults residing in a small urban area. However, interviews (n = 24) showed that cycling during the pandemic was associated with feelings of accomplishment, enjoyment, improved self-esteem, and increased freedom by allowing them to get out despite social distancing requirements. Further, among respondents reporting increased cycling (n = 76), most (79 %) plan to maintain cycling habits post-pandemic, citing reasons such as personal health, enjoyment, and the social aspect of cycling. These findings could support efforts promoting cycling among older adults, pointing to aspects for designing voluntary travel behavior change (VTBC) programs.;1
